,Hospital Type,Hospital Ownership,Emergency Services,Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
2083,,,,231305,SAINT MARY'S STANDISH COMMUNITY HOSPITAL,805 W CEDAR ST,,,STANDISH,MI,48658.0,ARENAC,5178464521.0,15.9,No Different than U.S. National Rate,12.3,20.4,35,,11.8,No Different than U.S. National Rate,8.5,16.2,86,,12.5,No Different than U.S. National Rate,9.0,17.2,94,,Not Available,Number of Cases Too Small,Not Available,Not Available,17,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.1,No Different than U.S. National Rate,19.1,27.8,104,,17.0,No Different than U.S. National Rate,13.5,21.2,90,
2084,,,,231307,BARAGA COUNTY MEMORIAL HOSPITAL,18341 US HIGHWAY 41,,,L' ANSE,MI,49946.0,BARAGA,9065243300.0,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.1,No Different than U.S. National Rate,9.3,17.9,52,,14.6,No Different than U.S. National Rate,10.6,19.8,84,,Not Available,Number of Cases Too Small,Not Available,Not Available,11,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.6,No Different than U.S. National Rate,19.3,28.8,59,,18.8,No Different than U.S. National Rate,15.0,23.4,80,
2085,,,,231310,SCHEURER HOSPITAL,170 N CASEVILLE RD,,,PIGEON,MI,48755.0,HURON,9894533223.0,Not Available,Number of Cases Too Small,Not Available,Not Available,4,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.0,No Different than U.S. National Rate,9.2,18.0,49,,12.1,No Different than U.S. National Rate,8.4,17.4,53,,Not Available,Number of Cases Too Small,Not Available,Not Available,3,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.6,No Different than U.S. National Rate,20.0,29.9,57,,18.1,No Different than U.S. National Rate,14.3,22.9,51,
2086,,,,231311,DECKERVILLE COMMUNITY HOSPITAL,3559 PINE ST,,,DECKERVILLE,MI,48427.0,SANILAC,8103762835.0,Not Available,Number of Cases Too Small,Not Available,Not Available,11,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,19,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.4,No Different than U.S. National Rate,7.0,15.3,25,,Not Available,Number of Cases Too Small,Not Available,Not Available,12,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,24,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,17.7,No Different than U.S. National Rate,13.8,22.3,28,
2087,,,,231312,SHERIDAN COMMUNITY HOSPITAL,301 N MAIN ST,,,SHERIDAN,MI,48884.0,MONTCALM,9892913261.0,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,24,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.3,No Different than U.S. National Rate,7.6,16.5,47,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.6,No Different than U.S. National Rate,18.9,29.1,27,,17.7,No Different than U.S. National Rate,13.8,22.5,49,
2088,,,,231313,HARBOR BEACH COMMUNITY HOSPITAL,210 S FIRST ST,,,HARBOR BEACH,MI,48441.0,HURON,9894793201.0,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,19,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,4,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,20,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,12,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
2089,,,,231314,MCKENZIE MEMORIAL HOSPITAL,120 DELAWARE STREET,,,SANDUSKY,MI,48471.0,SANILAC,8106483770.0,Not Available,Number of Cases Too Small,Not Available,Not Available,8,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.0,No Different than U.S. National Rate,8.9,18.2,30,,11.3,No Different than U.S. National Rate,7.6,16.3,63,,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.6,No Different than U.S. National Rate,19.6,30.0,36,,16.9,No Different than U.S. National Rate,13.1,21.4,66,
2090,,,,231315,BORGESS-LEE MEMORIAL HOSPITAL,420 W HIGH STREET,,,DOWAGIAC,MI,49047.0,CASS,2697828681.0,16.0,No Different than U.S. National Rate,12.1,20.7,26,,11.1,No Different than U.S. National Rate,8.3,15.0,94,,12.3,No Different than U.S. National Rate,8.7,16.7,81,,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.8,No Different than U.S. National Rate,18.8,27.4,104,,16.7,No Different than U.S. National Rate,13.2,21.2,83,
2091,,,,231316,HILLS & DALES GENERAL HOSPITAL,4675 HILL STREET,,,CASS CITY,MI,48726.0,TUSCOLA,9898722121.0,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.2,No Different than U.S. National Rate,8.5,17.0,38,,12.2,No Different than U.S. National Rate,8.5,17.3,49,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.8,No Different than U.S. National Rate,20.8,31.6,42,,18.6,No Different than U.S. National Rate,14.4,23.4,46,
2092,,,,231317,SPECTRUM HEALTH UNITED MEMORIAL - KELSEY CAMPUS,418 WASHINGTON,,,LAKEVIEW,MI,48850.0,LAKE,9893527211.0,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,9.8,No Different than U.S. National Rate,6.5,14.3,45,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.6,No Different than U.S. National Rate,18.9,28.9,30,,16.5,No Different than U.S. National Rate,12.7,20.8,50,
2093,,,,231318,NORTHSTAR HEALTH SYSTEM,1400 W ICE LAKE ROAD,,,IRON RIVER,MI,49935.0,IRON,9062656121.0,Not Available,Number of Cases Too Small,Not Available,Not Available,13,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.2,No Different than U.S. National Rate,8.2,15.2,91,,14.0,No Different than U.S. National Rate,10.9,17.9,187,,Not Available,Number of Cases Too Small,Not Available,Not Available,9,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.1,No Different than U.S. National Rate,20.8,30.2,103,,19.4,No Different than U.S. National Rate,16.1,23.4,206,
2094,,,,231319,ASPIRUS KEWEENAW HOSPITAL,205 OSCEOLA,,,LAURIUM,MI,49913.0,HOUGHTON,9063376500.0,17.3,No Different than U.S. National Rate,13.1,22.1,25,,9.8,No Different than U.S. National Rate,6.9,13.8,65,,11.1,No Different than U.S. National Rate,8.3,14.8,144,,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.0,No Different than U.S. National Rate,20.6,29.9,79,,17.5,No Different than U.S. National Rate,14.3,21.4,155,
2095,,,,231320,"MERCY HEALTH PARTNERS, LAKESHORE CAMPUS",72 SOUTH STATE STREET,,,SHELBY,MI,49455.0,OCEANA,2318612156.0,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.8,No Different than U.S. National Rate,8.3,16.4,45,,10.4,No Different than U.S. National Rate,7.3,14.5,84,,Not Available,Number of Cases Too Small,Not Available,Not Available,12,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.6,No Different than U.S. National Rate,21.0,31.2,60,,17.5,No Different than U.S. National Rate,13.8,22.2,90,
2096,,,,231321,BELL MEMORIAL HOSPITAL,901 LAKESHORE DRIVE,,,ISHPEMING,MI,49849.0,MARQUETTE,9064864431.0,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.9,No Different than U.S. National Rate,8.3,17.3,32,,14.0,No Different than U.S. National Rate,10.1,19.2,120,,Not Available,Number of Cases Too Small,Not Available,Not Available,18,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.4,No Different than U.S. National Rate,17.9,27.9,42,,17.5,No Different than U.S. National Rate,13.9,22.0,125,
2097,,,,231322,CHARLEVOIX AREA HOSPITAL,14700 LAKESHORE DRIVE,,,CHARLEVOIX,MI,49720.0,CHARLEVOIX,2315474024.0,Not Available,Number of Cases Too Small,Not Available,Not Available,12,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.9,No Different than U.S. National Rate,9.7,19.7,45,,12.9,No Different than U.S. National Rate,9.2,17.5,115,,Not Available,Number of Cases Too Small,Not Available,Not Available,8,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.5,No Different than U.S. National Rate,18.2,27.8,54,,17.4,No Different than U.S. National Rate,13.9,21.9,122,
2098,,,,231323,SPECTRUM HEALTH - REED CITY CAMPUS,"PO BOX 75, 300 N PATTERSON",,,REED CITY,MI,49677.0,OSCEOLA,2318323271.0,Not Available,Number of Cases Too Small,Not Available,Not Available,19,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.7,No Different than U.S. National Rate,8.3,16.1,66,,15.3,No Different than U.S. National Rate,11.4,20.0,115,,Not Available,Number of Cases Too Small,Not Available,Not Available,10,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.2,No Different than U.S. National Rate,19.0,28.1,76,,17.5,No Different than U.S. National Rate,14.0,21.4,118,
2099,,,,231324,EATON RAPIDS MEDICAL CENTER,1500 S MAIN STREET,,,EATON RAPIDS,MI,48827.0,EATON,5176632671.0,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.9,No Different than U.S. National Rate,8.3,16.3,47,,10.5,No Different than U.S. National Rate,7.2,15.6,45,,Not Available,Number of Cases Too Small,Not Available,Not Available,8,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.4,No Different than U.S. National Rate,19.6,29.7,56,,19.0,No Different than U.S. National Rate,14.9,23.9,49,
2100,,,,231325,MIDMICHIGAN MEDICAL CENTER-GLADWIN,515 QUARTER STREET,,,GLADWIN,MI,48624.0,GLADWIN,9894269286.0,Not Available,Number of Cases Too Small,Not Available,Not Available,6,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.6,No Different than U.S. National Rate,10.1,17.8,129,,13.0,No Different than U.S. National Rate,9.7,17.3,112,,Not Available,Number of Cases Too Small,Not Available,Not Available,9,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.7,No Different than U.S. National Rate,19.7,28.3,139,,17.5,No Different than U.S. National Rate,14.2,21.8,116,
2101,,,,231326,CLINTON MEMORIAL HOSPITAL,805 S OAKLAND,,,SAINT JOHNS,MI,48879.0,CLINTON,9892246881.0,Not Available,Number of Cases Too Small,Not Available,Not Available,11,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.8,No Different than U.S. National Rate,9.4,17.8,64,,12.1,No Different than U.S. National Rate,8.6,17.0,99,,Not Available,Number of Cases Too Small,Not Available,Not Available,7,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.8,No Different than U.S. National Rate,19.3,28.9,78,,18.7,No Different than U.S. National Rate,14.8,23.2,104,
2102,,,,231327,HAYES GREEN BEACH MEMORIAL HOSPITAL,321 E HARRIS STREET,,,CHARLOTTE,MI,48813.0,EATON,5175431050.0,Not Available,Number of Cases Too Small,Not Available,Not Available,13,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.7,No Different than U.S. National Rate,7.7,14.6,54,,11.0,No Different than U.S. National Rate,7.7,15.7,109,,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.3,No Different than U.S. National Rate,19.8,29.5,63,,18.9,No Different than U.S. National Rate,15.2,23.0,117,
2103,,,,231328,ALLEGAN GENERAL HOSPITAL,555 LINN STREET,,,ALLEGAN,MI,49010.0,ALLEGAN,2696864101.0,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.9,No Different than U.S. National Rate,8.7,15.9,85,,13.7,No Different than U.S. National Rate,9.9,18.1,103,,Not Available,Number of Cases Too Small,Not Available,Not Available,3,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.4,No Different than U.S. National Rate,20.2,29.2,101,,18.1,No Different than U.S. National Rate,14.5,22.3,99,
2104,,,,231329,CARO COMMUNITY HOSPITAL,401 N HOOPER STREET,,,CARO,MI,48723.0,TUSCOLA,9896733141.0,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Number of Cases Too Small,Not Available,Not Available,11,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.4,No Different than U.S. National Rate,8.6,17.4,44,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,17.5,No Different than U.S. National Rate,13.4,22.0,44,
2105,,,,231330,MARLETTE REGIONAL HOSPITAL,2770 MAIN STREET,,,MARLETTE,MI,48453.0,SANILAC,9896354000.0,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.4,No Different than U.S. National Rate,7.4,14.6,63,,10.4,No Different than U.S. National Rate,7.3,14.7,91,,Not Available,Number of Cases Too Small,Not Available,Not Available,7,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.1,No Different than U.S. National Rate,19.9,29.2,71,,18.2,No Different than U.S. National Rate,14.5,22.5,99,
2106,,,,231331,IONIA COUNTY MEMORIAL HOSPITAL,479 LAFAYETTE STREET,,,IONIA,MI,48846.0,IONIA,6165274200.0,Not Available,Number of Cases Too Small,Not Available,Not Available,3,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.1,No Different than U.S. National Rate,9.4,18.1,27,,11.3,No Different than U.S. National Rate,7.7,16.3,51,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.9,No Different than U.S. National Rate,19.9,30.4,30,,18.4,No Different than U.S. National Rate,14.5,23.2,54,
2107,,,,231332,BRONSON LAKEVIEW HOSPITAL,408 HAZEN STREET,,,PAW PAW,MI,49079.0,VAN BUREN,2696571400.0,Not Available,Number of Cases Too Small,Not Available,Not Available,6,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.2,No Different than U.S. National Rate,8.0,15.9,45,,11.7,No Different than U.S. National Rate,8.3,16.2,104,,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.0,No Different than U.S. National Rate,20.2,30.4,60,,16.7,No Different than U.S. National Rate,13.3,21.0,108,
2108,,,,231333,ASPIRUS GRAND VIEW HOSPITAL,N10561 GRAND VIEW LANE,,,IRONWOOD,MI,49938.0,GOGEBIC,9069322525.0,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.9,No Different than U.S. National Rate,10.1,18.8,66,,16.5,Worse than U.S. National Rate,12.9,20.9,149,,Not Available,Number of Cases Too Small,Not Available,Not Available,16,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.7,No Different than U.S. National Rate,18.5,27.6,69,,16.7,No Different than U.S. National Rate,13.3,20.7,144,
2109,,,,231334,HERRICK MEMORIAL HOSPITAL,500 E POTTAWATAMIE STREET,,,TECUMSEH,MI,49286.0,LENAWEE,5174243000.0,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.6,No Different than U.S. National Rate,10.0,18.3,72,,12.3,No Different than U.S. National Rate,9.1,16.8,117,,Not Available,Number of Cases Too Small,Not Available,Not Available,16,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.4,No Different than U.S. National Rate,19.8,29.7,79,,16.8,No Different than U.S. National Rate,13.3,20.8,122,
2110,,,,231335,WEST SHORE MEDICAL CENTER,1465 E PARKDALE AVENUE,,,MANISTEE,MI,49660.0,MANISTEE,2313981000.0,Not Available,Number of Cases Too Small,Not Available,Not Available,21,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.0,No Different than U.S. National Rate,7.8,15.0,84,,13.7,No Different than U.S. National Rate,10.4,18.0,141,,Not Available,Number of Cases Too Small,Not Available,Not Available,16,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.7,No Different than U.S. National Rate,20.3,29.5,90,,17.5,No Different than U.S. National Rate,14.1,21.5,147,
2111,,,,231336,CHEBOYGAN MEMORIAL HOSPITAL,748 S MAIN,,,CHEBOYGAN,MI,49721.0,CHEBOYGAN,2316275601.0,Not Available,Number of Cases Too Small,Not Available,Not Available,21,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.7,No Different than U.S. National Rate,8.5,16.0,90,,10.7,No Different than U.S. National Rate,7.6,14.6,86,,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.2,No Different than U.S. National Rate,18.3,26.7,119,,16.6,No Different than U.S. National Rate,13.2,20.6,97,
2112,,,,233300,CHILDREN'S HOSPITAL OF MICHIGAN,3901 BEAUBIEN,,,DETROIT,MI,48201.0,WAYNE,3137455437.0,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure
2113,,,,240001,NORTH MEMORIAL MEDICAL CENTER,3300 OAKDALE NORTH,,,ROBBINSDALE,MN,55422.0,HENNEPIN,7635205200.0,16.6,No Different than U.S. National Rate,13.5,20.5,208,,11.2,No Different than U.S. National Rate,8.8,14.1,328,,13.4,No Different than U.S. National Rate,10.8,16.4,268,,18.4,No Different than U.S. National Rate,15.1,22.5,212,,23.2,No Different than U.S. National Rate,20.1,26.4,414,,17.7,No Different than U.S. National Rate,14.7,21.1,292,
2114,,,,240002,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER,407 EAST THIRD STREET,,,DULUTH,MN,55805.0,SAINT LOUIS,2187864000.0,16.0,No Different than U.S. National Rate,13.4,18.9,537,,9.4,No Different than U.S. National Rate,7.2,12.1,327,,14.0,No Different than U.S. National Rate,10.9,17.7,270,,17.6,No Different than U.S. National Rate,15.2,20.4,670,,22.3,No Different than U.S. National Rate,19.4,25.4,463,,18.1,No Different than U.S. National Rate,15.1,21.5,307,
2115,,,,240004,HENNEPIN COUNTY MEDICAL CENTER,701 PARK AVENUE,,,MINNEAPOLIS,MN,55415.0,HENNEPIN,6128733000.0,15.2,No Different than U.S. National Rate,11.5,19.5,74,,12.3,No Different than U.S. National Rate,9.2,15.8,133,,12.2,No Different than U.S. National Rate,9.0,16.4,112,,19.2,No Different than U.S. National Rate,15.6,23.7,71,,27.6,No Different than U.S. National Rate,23.7,31.5,181,,19.7,No Different than U.S. National Rate,16.0,23.7,131,
2116,,,,240006,OLMSTED MEDICAL CENTER,1650 FOURTH STREET SOUTHEAST,,,ROCHESTER,MN,55904.0,OLMSTED,5075296600.0,Not Available,Number of Cases Too Small,Not Available,Not Available,7,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.4,No Different than U.S. National Rate,8.0,16.4,27,,11.9,No Different than U.S. National Rate,8.5,16.4,55,,Not Available,Number of Cases Too Small,Not Available,Not Available,4,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.8,No Different than U.S. National Rate,19.8,30.2,28,,18.4,No Different than U.S. National Rate,14.4,23.6,58,
2117,,,,240010,ST MARYS HOSPITAL,1216 SECOND STREET WEST,,,ROCHESTER,MN,55902.0,OLMSTED,5072555123.0,12.1,Better than U.S. National Rate,10.2,14.5,682,,11.2,No Different than U.S. National Rate,9.6,13.0,1075,,10.8,No Different than U.S. National Rate,8.8,13.1,619,,18.2,No Different than U.S. National Rate,16.0,20.7,863,,26.2,No Different than U.S. National Rate,24.0,28.3,1380,,16.6,No Different than U.S. National Rate,14.4,19.1,759,
2118,,,,240014,NORTHFIELD HOSPITAL,2000 NORTH AVENUE,,,NORTHFIELD,MN,55057.0,RICE,5076461000.0,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.4,No Different than U.S. National Rate,8.2,15.6,68,,10.4,No Different than U.S. National Rate,7.2,15.2,77,,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.8,No Different than U.S. National Rate,19.4,29.1,98,,17.9,No Different than U.S. National Rate,14.1,22.5,92,
2119,,,,240018,FAIRVIEW RED WING HOSPITAL,"701 FAIRVIEW BOULEVARD, PO BOX 95",,,RED WING,MN,55066.0,GOODHUE,6512675000.0,16.0,No Different than U.S. National Rate,12.5,19.9,33,,13.7,No Different than U.S. National Rate,10.1,18.3,65,,13.7,No Different than U.S. National Rate,9.8,18.6,72,,18.8,No Different than U.S. National Rate,14.8,23.5,28,,23.9,No Different than U.S. National Rate,19.5,28.9,76,,16.3,No Different than U.S. National Rate,12.8,20.5,77,
2120,,,,240019,ESSENTIA HEALTH DULUTH,502 EAST SECOND STREET,,,DULUTH,MN,55805.0,SAINT LOUIS,2187862629.0,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.4,No Different than U.S. National Rate,7.7,16.7,41,,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,24,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,17.6,No Different than U.S. National Rate,13.9,21.9,42,
2121,,,,240020,CAMBRIDGE MEDICAL CENTER,701 SOUTH DELLWOOD,,,CAMBRIDGE,MN,55008.0,ISANTI,7636897700.0,Not Available,Number of Cases Too Small,Not Available,Not Available,16,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.5,No Different than U.S. National Rate,7.5,14.3,71,,11.7,No Different than U.S. National Rate,8.3,16.2,77,,Not Available,Number of Cases Too Small,Not Available,Not Available,12,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.5,No Different than U.S. National Rate,20.1,29.6,78,,17.4,No Different than U.S. National Rate,13.8,21.6,81,
2122,,,,240022,SANFORD  WORTHINGTON MEDICAL CENTER,1018 SIXTH AVENUE PO BOX 997,,,WORTHINGTON,MN,56187.0,NOBLES,5073722941.0,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.1,No Different than U.S. National Rate,8.6,16.9,63,,11.6,No Different than U.S. National Rate,8.1,16.1,74,,Not Available,Number of Cases Too Small,Not Available,Not Available,4,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.9,No Different than U.S. National Rate,21.1,31.9,68,,19.2,No Different than U.S. National Rate,15.0,24.3,79,
2123,,,,24002F,ST CLOUD VA MEDICAL CENTER,4801   8TH STREET N.,,,ST. CLOUD                     ,MN,56303.0,STEARNS,3202521670.0,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure
